measured_neg_fraction,candidate,transitions,transitions_per_tile,netlist_cells
0.000000,bitserial,896800,18683.333,11760
0.000000,booth4,521323,10860.896,34169
0.000000,infer,421039,8771.646,39482
0.000000,signmag,508501,10593.771,42361
0.000000,wallace,471153,9815.688,46526
0.246745,bitserial,1139306,23735.542,11760
0.246745,booth4,590427,12300.562,34169
0.246745,infer,569172,11857.750,39482
0.246745,signmag,566793,11808.188,42361
0.246745,wallace,619792,12912.333,46526
0.501302,bitserial,1226929,25561.021,11760
0.501302,booth4,609502,12697.958,34169
0.501302,infer,636062,13251.292,39482
0.501302,signmag,581679,12118.312,42361
0.501302,wallace,702230,14629.792,46526
0.738281,bitserial,1217507,25364.729,11760
0.738281,booth4,598028,12458.917,34169
0.738281,infer,658156,13711.583,39482
0.738281,signmag,567681,11826.688,42361
0.738281,wallace,730072,15209.833,46526
1.000000,bitserial,1124355,23424.062,11760
1.000000,booth4,535852,11163.583,34169
1.000000,infer,651350,13569.792,39482
1.000000,signmag,509131,10606.896,42361
1.000000,wallace,712611,14846.062,46526
