measured_neg_fraction,candidate,transitions,transitions_per_tile
0.000000,bitserial,1249416,6507.375
0.000000,booth4,3809013,19838.609
0.000000,infer,401556,2091.438
0.000000,signmag,3042962,15848.760
0.000000,wallace,2941999,15322.911
0.125326,bitserial,1380812,7191.729
0.125326,booth4,4178172,21761.312
0.125326,infer,443224,2308.458
0.125326,signmag,3219058,16765.927
0.125326,wallace,3786564,19721.688
0.246419,bitserial,1450489,7554.630
0.246419,booth4,4399332,22913.188
0.246419,infer,484890,2525.469
0.246419,signmag,3312712,17253.708
0.246419,wallace,4423294,23037.990
0.368001,bitserial,1488368,7751.917
0.368001,booth4,4506862,23473.240
0.368001,infer,502128,2615.250
0.368001,signmag,3350122,17448.552
0.368001,wallace,4880750,25420.573
0.500000,bitserial,1498968,7807.125
0.500000,booth4,4563328,23767.333
0.500000,infer,505808,2634.417
0.500000,signmag,3360896,17504.667
0.500000,wallace,5209216,27131.333
0.620605,bitserial,1489128,7755.875
0.620605,booth4,4549891,23697.349
0.620605,infer,502479,2617.078
0.620605,signmag,3353970,17468.594
0.620605,wallace,5385413,28049.026
0.748698,bitserial,1441232,7506.417
0.748698,booth4,4469223,23277.203
0.748698,infer,481178,2506.135
0.748698,signmag,3315964,17270.646
0.748698,wallace,5435737,28311.130
0.880046,bitserial,1379839,7186.661
0.880046,booth4,4279131,22287.141
0.880046,infer,442640,2305.417
0.880046,signmag,3221966,16781.073
0.880046,wallace,5342421,27825.109
1.000000,bitserial,1351750,7040.365
1.000000,booth4,3968773,20670.693
1.000000,infer,404034,2104.344
1.000000,signmag,3055960,15916.458
1.000000,wallace,5108125,26604.818
