top,neg_fraction,internal_w,switching_w,leakage_w,total_w,coverage
engine_wallace,0.0,0.002469858,0.001433561,0.000004969,0.003908388,1.0
engine_signmag,0.0,0.002537039,0.001530342,0.000004750,0.004072131,1.0
engine_wallace,0.25,0.002778496,0.001834683,0.000004995,0.004618174,1.0
engine_signmag,0.25,0.002709081,0.001722833,0.000004759,0.004436673,1.0
engine_wallace,0.5,0.002932156,0.002029313,0.000005020,0.004966490,1.0
engine_signmag,0.5,0.002786022,0.001762833,0.000004767,0.004553623,1.0
engine_wallace,0.75,0.002890130,0.002062764,0.000005032,0.004957926,1.0
engine_signmag,0.75,0.002707606,0.001728094,0.000004758,0.004440458,1.0
engine_wallace,1.0,0.002760408,0.001951253,0.000005052,0.004716713,1.0
engine_signmag,1.0,0.002541842,0.001531866,0.000004751,0.004078459,1.0
