mode,top,total_cells,combinational_cells,flip_flops,gate_equivalents,logic_depth,memory_bits,chip_area_um2
generic,engine_infer,39482,38969,513,79682.5,51,0,
generic,engine_wallace,46526,46013,513,89590.0,53,0,
generic,engine_booth4,34169,33656,513,71647.5,52,0,
generic,engine_signmag,42361,41848,513,82183.5,59,0,
generic,engine_bitserial,11760,10971,789,27767.5,59,0,
generic,engine_array,232071,229225,2841,468919.5,44,0,
generic,bench_core,412685,327103,85577,1401695.5,11,0,
generic,gemm_bench_chip,412687,327105,85577,1401701.5,11,0,
sg13g2,engine_infer,35917,35404,513,,,0,392529.224
sg13g2,engine_wallace,39795,39282,513,,,0,406835.050
sg13g2,engine_booth4,30389,29876,513,,,0,328163.270
sg13g2,engine_signmag,38390,37877,513,,,0,387503.827
sg13g2,engine_bitserial,13143,12354,789,,,0,149874.883
